intentId,contestId,candidateId,amount,status,createdAt
CEpPesPwoKybobvN5In8,votes-artistes,oucOMPgDKDQR8GKDvFHJ,2000,pending,2025-12-17T11:15:32.145Z
CFdiaA2PiNKKVfpdcJvI,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T21:14:10.721Z
CMdP8q7UgoioxCUGnbLu,votes-artistes,GEVWzgnMyTnavWjEa6pg,1000,pending,2025-12-15T12:46:09.651Z
CMfyZlStn7FujsrA6NNi,votes-artistes,81cTWJpXQxqb1LcEQ9Nd,100,pending,2025-12-16T08:43:00.747Z
CPalIlZN4DgadUfCIvsk,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-19T06:19:01.616Z
CQSEkU3vTfsPh4vnxeJ3,votes-artistes,RIAr7Uw1uo74gAhWWM9c,100,pending,2025-12-15T20:52:39.397Z
CWm0zjd4zYqZC5twiqqG,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T09:10:14.882Z
CZPTAM5ZdD06Jo7XUee2,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-18T09:54:19.707Z
CeNMxQsMJVdI9U7ts5pN,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T10:57:31.609Z
CgkZnZMaZxb6CU8CuY7l,votes-artistes,RIAr7Uw1uo74gAhWWM9c,100,pending,2025-12-16T18:07:41.987Z
D0DNuPy6vRBI6wFyvAKz,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-15T10:40:50.843Z
D1erIv0qaY0TPRVRha5X,votes-artistes,GEVWzgnMyTnavWjEa6pg,2000,pending,2025-12-19T17:16:59.717Z
D7jB87ZcXN8gdduhZOZl,votes-artistes,zNIM4k3VP04xbhamFPva,1000,pending,2025-12-16T14:58:28.060Z
D9aKJpP6lYgG8hdcTVol,votes-artistes,RIAr7Uw1uo74gAhWWM9c,100,pending,2025-12-16T08:29:59.915Z
DB0Bb2D0O142D5hE5INL,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-18T12:00:28.270Z
DCHCZo2oQUyxN8IgRdNt,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-15T11:17:02.734Z
DPZ3hVzTyyV7o8eXTiIe,votes-artistes,RIAr7Uw1uo74gAhWWM9c,1000,pending,2025-12-16T18:44:21.839Z
